OrderID,OrderDate,CustomerID,CustomerName,Product,Category,Region,Quantity,UnitPrice,Sales,Profit
ORD00001,2025-10-16,CUST0398,Customer 398,Product 7,Clothing,North,7,400.31,2802.17,383.02
ORD00002,2024-04-24,CUST0019,Customer 19,Product 18,Clothing,West,8,303.34,2426.72,318.39
ORD00003,2024-01-26,CUST0372,Customer 372,Product 5,Clothing,South,3,58.99,176.97,33.95
ORD00004,2024-10-08,CUST0048,Customer 48,Product 17,Clothing,Central,5,304.55,1522.75,367.92
ORD00005,2024-09-07,CUST0175,Customer 175,Product 6,Electronics,North,6,37.64,225.84,55.2
ORD00006,2024-08-16,CUST0456,Customer 456,Product 18,Clothing,South,6,10.38,62.28,18.59
ORD00007,2024-05-22,CUST0427,Customer 427,Product 10,Sports,Central,1,159.08,159.08,32.6
ORD00008,2024-04-14,CUST0057,Customer 57,Product 2,Clothing,East,9,152.7,1374.3,305.6
ORD00009,2025-11-23,CUST0322,Customer 322,Product 17,Clothing,North,10,32.87,328.7,96.88
ORD00010,2025-07-12,CUST0025,Customer 25,Product 4,Sports,East,3,197.41,592.23,175.68
ORD00011,2024-03-30,CUST0294,Customer 294,Product 1,Sports,East,9,32.76,294.84,65.31
ORD00012,2025-08-27,CUST0121,Customer 121,Product 19,Home & Kitchen,East,5,230.74,1153.7,118.43
ORD00013,2025-03-08,CUST0154,Customer 154,Product 10,Home & Kitchen,West,9,483.16,4348.44,1137.9
ORD00014,2024-02-02,CUST0267,Customer 267,Product 8,Electronics,East,9,17.82,160.38,23.44
ORD00015,2024-01-31,CUST0265,Customer 265,Product 19,Home & Kitchen,East,7,308.9,2162.3,576.55
ORD00016,2024-04-05,CUST0233,Customer 233,Product 4,Home & Kitchen,West,3,455.57,1366.71,207.41
ORD00017,2024-08-11,CUST0425,Customer 425,Product 14,Electronics,North,8,380.13,3041.04,562.69
ORD00018,2024-08-26,CUST0032,Customer 32,Product 14,Home & Kitchen,West,6,277.89,1667.34,228.38
ORD00019,2025-06-01,CUST0110,Customer 110,Product 15,Electronics,East,2,389.82,779.64,224.46
ORD00020,2025-09-08,CUST0347,Customer 347,Product 17,Sports,Central,4,302.97,1211.88,344.63
ORD00021,2024-01-28,CUST0287,Customer 287,Product 17,Sports,East,8,289.52,2316.16,472.88
ORD00022,2025-07-28,CUST0300,Customer 300,Product 16,Sports,West,8,423.82,3390.56,845.82
ORD00023,2024-07-22,CUST0353,Customer 353,Product 16,Sports,South,5,297.51,1487.55,435.93
ORD00024,2025-10-27,CUST0074,Customer 74,Product 17,Home & Kitchen,West,9,155.17,1396.53,185.81
ORD00025,2025-12-19,CUST0365,Customer 365,Product 15,Home & Kitchen,Central,9,493.57,4442.13,1130.3
ORD00026,2025-07-12,CUST0442,Customer 442,Product 17,Electronics,South,8,12.71,101.68,26.75
ORD00027,2025-03-05,CUST0234,Customer 234,Product 16,Electronics,South,1,358.56,358.56,92.52
ORD00028,2024-08-13,CUST0484,Customer 484,Product 18,Clothing,North,5,463.89,2319.45,533.97
ORD00029,2025-04-04,CUST0309,Customer 309,Product 14,Electronics,North,7,426.52,2985.64,566.94
ORD00030,2025-08-26,CUST0190,Customer 190,Product 19,Clothing,North,1,41.14,41.14,6.67
ORD00031,2024-10-11,CUST0268,Customer 268,Product 5,Electronics,East,8,336.3,2690.4,587.21
ORD00032,2024-01-07,CUST0157,Customer 157,Product 12,Clothing,East,6,444.73,2668.38,518.85
ORD00033,2024-06-12,CUST0249,Customer 249,Product 1,Home & Kitchen,South,5,486.14,2430.7,655.76
ORD00034,2025-12-15,CUST0402,Customer 402,Product 19,Sports,North,5,285.03,1425.15,362.26
ORD00035,2025-03-08,CUST0480,Customer 480,Product 10,Clothing,South,7,29.81,208.67,50.53
ORD00036,2024-12-14,CUST0094,Customer 94,Product 16,Electronics,North,10,22.46,224.6,27.31
ORD00037,2024-10-11,CUST0281,Customer 281,Product 12,Electronics,North,7,242.93,1700.51,361.62
ORD00038,2024-06-08,CUST0214,Customer 214,Product 16,Clothing,Central,4,454.71,1818.84,272.57
ORD00039,2024-08-08,CUST0232,Customer 232,Product 11,Sports,West,4,472.0,1888.0,414.93
ORD00040,2024-12-10,CUST0428,Customer 428,Product 20,Home & Kitchen,South,3,89.0,267.0,76.35
ORD00041,2024-04-14,CUST0259,Customer 259,Product 15,Sports,West,9,61.69,555.21,106.22
ORD00042,2024-04-04,CUST0077,Customer 77,Product 11,Electronics,Central,4,447.35,1789.4,371.96
ORD00043,2025-01-24,CUST0341,Customer 341,Product 20,Sports,West,10,69.82,698.2,119.57
ORD00044,2024-04-09,CUST0120,Customer 120,Product 13,Clothing,Central,1,143.34,143.34,32.9
ORD00045,2025-01-02,CUST0024,Customer 24,Product 15,Clothing,North,9,410.83,3697.47,1006.25
ORD00046,2024-12-18,CUST0444,Customer 444,Product 6,Electronics,Central,7,90.68,634.76,131.28
ORD00047,2025-09-10,CUST0323,Customer 323,Product 10,Electronics,Central,5,349.29,1746.45,268.75
ORD00048,2024-09-27,CUST0044,Customer 44,Product 7,Electronics,Central,8,472.03,3776.24,621.72
ORD00049,2024-02-14,CUST0268,Customer 268,Product 7,Sports,Central,8,354.48,2835.84,489.82
ORD00050,2025-04-15,CUST0460,Customer 460,Product 1,Electronics,Central,1,134.42,134.42,20.08
ORD00051,2025-07-03,CUST0093,Customer 93,Product 1,Clothing,South,7,253.65,1775.55,284.4
ORD00052,2024-05-07,CUST0126,Customer 126,Product 19,Sports,North,1,498.89,498.89,76.51
ORD00053,2025-01-22,CUST0414,Customer 414,Product 18,Clothing,West,2,256.31,512.62,56.54
ORD00054,2024-03-21,CUST0302,Customer 302,Product 2,Sports,North,5,179.08,895.4,203.14
ORD00055,2025-07-19,CUST0175,Customer 175,Product 14,Home & Kitchen,West,2,270.16,540.32,102.42
ORD00056,2024-10-27,CUST0013,Customer 13,Product 17,Clothing,West,6,128.61,771.66,180.9
ORD00057,2025-10-05,CUST0132,Customer 132,Product 3,Electronics,North,8,126.44,1011.52,248.47
ORD00058,2025-09-25,CUST0278,Customer 278,Product 6,Clothing,South,8,240.45,1923.6,570.7
ORD00059,2025-01-05,CUST0094,Customer 94,Product 9,Electronics,South,6,272.53,1635.18,193.05
ORD00060,2025-08-14,CUST0158,Customer 158,Product 14,Home & Kitchen,North,1,83.85,83.85,16.91
ORD00061,2024-07-15,CUST0315,Customer 315,Product 11,Home & Kitchen,North,3,299.54,898.62,211.64
ORD00062,2025-12-22,CUST0366,Customer 366,Product 2,Clothing,West,3,358.46,1075.38,281.64
ORD00063,2024-03-12,CUST0051,Customer 51,Product 11,Home & Kitchen,West,4,326.13,1304.52,175.94
ORD00064,2024-02-16,CUST0458,Customer 458,Product 11,Clothing,West,1,204.81,204.81,41.69
ORD00065,2025-11-08,CUST0483,Customer 483,Product 4,Electronics,South,8,77.39,619.12,104.14
ORD00066,2024-08-21,CUST0123,Customer 123,Product 20,Home & Kitchen,West,9,112.45,1012.05,210.8
ORD00067,2024-10-23,CUST0261,Customer 261,Product 17,Sports,North,10,136.39,1363.9,316.42
ORD00068,2024-03-22,CUST0138,Customer 138,Product 2,Clothing,West,10,491.26,4912.6,998.87
ORD00069,2024-08-26,CUST0284,Customer 284,Product 14,Electronics,West,1,128.51,128.51,15.24
ORD00070,2024-04-13,CUST0015,Customer 15,Product 14,Home & Kitchen,North,5,451.2,2256.0,511.26
ORD00071,2025-01-24,CUST0138,Customer 138,Product 18,Electronics,South,9,146.65,1319.85,316.86
ORD00072,2024-10-11,CUST0391,Customer 391,Product 18,Home & Kitchen,East,3,429.6,1288.8,233.15
ORD00073,2025-04-09,CUST0291,Customer 291,Product 14,Sports,North,1,324.6,324.6,37.92
ORD00074,2025-10-12,CUST0434,Customer 434,Product 17,Home & Kitchen,South,8,394.82,3158.56,738.46
ORD00075,2025-01-08,CUST0192,Customer 192,Product 18,Home & Kitchen,South,3,192.42,577.26,166.27
ORD00076,2024-06-15,CUST0276,Customer 276,Product 14,Sports,North,9,12.48,112.32,14.84
ORD00077,2025-01-14,CUST0001,Customer 1,Product 15,Clothing,South,2,247.95,495.9,94.06
ORD00078,2024-12-29,CUST0001,Customer 1,Product 2,Sports,East,9,96.2,865.8,89.71
ORD00079,2024-08-02,CUST0307,Customer 307,Product 9,Sports,East,5,97.62,488.1,84.58
ORD00080,2025-11-17,CUST0432,Customer 432,Product 7,Clothing,North,8,426.12,3408.96,789.25
ORD00081,2024-09-30,CUST0083,Customer 83,Product 18,Electronics,East,1,275.84,275.84,55.65
ORD00082,2025-12-19,CUST0046,Customer 46,Product 13,Electronics,South,6,139.95,839.7,124.95
ORD00083,2025-11-30,CUST0372,Customer 372,Product 18,Clothing,West,6,489.66,2937.96,579.8
ORD00084,2025-10-25,CUST0108,Customer 108,Product 20,Clothing,East,8,319.26,2554.08,661.41
ORD00085,2024-03-14,CUST0326,Customer 326,Product 9,Sports,East,1,292.68,292.68,58.1
ORD00086,2025-09-15,CUST0126,Customer 126,Product 11,Clothing,South,5,122.79,613.95,122.69
ORD00087,2025-10-12,CUST0236,Customer 236,Product 20,Clothing,North,4,21.91,87.64,20.08
ORD00088,2024-06-24,CUST0468,Customer 468,Product 5,Electronics,Central,1,497.33,497.33,96.48
ORD00089,2025-06-30,CUST0244,Customer 244,Product 1,Electronics,South,5,442.91,2214.55,552.63
ORD00090,2024-09-07,CUST0212,Customer 212,Product 18,Sports,West,5,464.88,2324.4,431.49
ORD00091,2024-06-16,CUST0276,Customer 276,Product 3,Electronics,Central,5,290.42,1452.1,429.92
ORD00092,2025-04-18,CUST0016,Customer 16,Product 15,Electronics,East,4,154.28,617.12,109.24
ORD00093,2025-01-23,CUST0498,Customer 498,Product 13,Clothing,West,7,141.55,990.85,195.25
ORD00094,2024-10-03,CUST0091,Customer 91,Product 1,Electronics,West,2,282.83,565.66,162.48
ORD00095,2025-10-17,CUST0190,Customer 190,Product 7,Sports,North,10,465.71,4657.1,531.3
ORD00096,2025-12-05,CUST0114,Customer 114,Product 1,Clothing,East,2,311.35,622.7,185.57
ORD00097,2025-07-24,CUST0099,Customer 99,Product 3,Clothing,South,2,134.54,269.08,42.8
ORD00098,2024-08-12,CUST0120,Customer 120,Product 16,Clothing,North,10,372.98,3729.8,892.93
ORD00099,2025-12-02,CUST0144,Customer 144,Product 16,Home & Kitchen,North,6,186.15,1116.9,177.27
ORD00100,2024-11-28,CUST0101,Customer 101,Product 13,Electronics,East,7,215.69,1509.83,228.35
ORD00101,2024-02-27,CUST0292,Customer 292,Product 17,Sports,South,8,457.49,3659.92,740.29
ORD00102,2024-08-22,CUST0283,Customer 283,Product 7,Home & Kitchen,North,9,317.67,2859.03,396.99
ORD00103,2024-02-02,CUST0302,Customer 302,Product 5,Electronics,South,8,353.96,2831.68,733.85
ORD00104,2024-11-19,CUST0133,Customer 133,Product 19,Home & Kitchen,Central,3,175.62,526.86,92.26
ORD00105,2025-02-14,CUST0374,Customer 374,Product 9,Home & Kitchen,North,2,224.85,449.7,105.41
ORD00106,2024-10-01,CUST0497,Customer 497,Product 18,Clothing,Central,3,238.14,714.42,148.98
ORD00107,2024-03-08,CUST0453,Customer 453,Product 15,Electronics,West,6,299.51,1797.06,190.67
ORD00108,2024-08-04,CUST0329,Customer 329,Product 2,Clothing,West,4,29.03,116.12,18.66
ORD00109,2025-08-03,CUST0433,Customer 433,Product 14,Clothing,North,5,265.9,1329.5,337.69
ORD00110,2024-11-18,CUST0349,Customer 349,Product 17,Sports,West,5,234.06,1170.3,314.11
ORD00111,2024-08-05,CUST0186,Customer 186,Product 17,Electronics,South,4,211.56,846.24,203.02
ORD00112,2025-11-02,CUST0025,Customer 25,Product 9,Sports,Central,8,365.78,2926.24,863.74
ORD00113,2025-05-26,CUST0230,Customer 230,Product 11,Electronics,West,10,168.25,1682.5,435.83
ORD00114,2025-02-09,CUST0100,Customer 100,Product 11,Electronics,Central,3,225.1,675.3,78.13
ORD00115,2025-10-20,CUST0414,Customer 414,Product 1,Home & Kitchen,West,5,100.32,501.6,58.27
ORD00116,2025-04-14,CUST0491,Customer 491,Product 3,Home & Kitchen,South,9,347.36,3126.24,349.01
ORD00117,2024-05-26,CUST0085,Customer 85,Product 11,Clothing,North,10,86.65,866.5,130.02
ORD00118,2024-09-28,CUST0321,Customer 321,Product 4,Electronics,West,6,360.15,2160.9,501.41
ORD00119,2024-05-22,CUST0222,Customer 222,Product 1,Clothing,East,5,322.75,1613.75,328.14
ORD00120,2024-09-09,CUST0127,Customer 127,Product 4,Sports,South,5,309.74,1548.7,284.84
ORD00121,2025-07-28,CUST0491,Customer 491,Product 11,Electronics,East,10,184.43,1844.3,463.97
ORD00122,2025-07-05,CUST0267,Customer 267,Product 8,Electronics,Central,9,177.52,1597.68,189.1
ORD00123,2024-09-26,CUST0318,Customer 318,Product 15,Electronics,West,1,162.59,162.59,48.11
ORD00124,2025-08-21,CUST0297,Customer 297,Product 4,Electronics,North,5,242.35,1211.75,144.89
ORD00125,2025-03-14,CUST0470,Customer 470,Product 2,Sports,East,5,242.0,1210.0,162.91
ORD00126,2025-08-20,CUST0456,Customer 456,Product 3,Home & Kitchen,North,5,205.27,1026.35,229.05
ORD00127,2025-02-12,CUST0471,Customer 471,Product 15,Electronics,East,5,444.47,2222.35,338.19
ORD00128,2025-01-05,CUST0313,Customer 313,Product 14,Electronics,North,10,316.67,3166.7,635.33
ORD00129,2024-08-12,CUST0347,Customer 347,Product 2,Electronics,East,1,274.29,274.29,64.95
ORD00130,2024-05-21,CUST0436,Customer 436,Product 13,Sports,North,8,472.51,3780.08,1091.88
ORD00131,2025-06-05,CUST0317,Customer 317,Product 14,Home & Kitchen,Central,4,291.98,1167.92,207.46
ORD00132,2025-05-20,CUST0404,Customer 404,Product 20,Electronics,West,1,234.54,234.54,49.05
ORD00133,2024-04-03,CUST0197,Customer 197,Product 15,Sports,Central,5,316.71,1583.55,418.19
ORD00134,2024-02-18,CUST0318,Customer 318,Product 4,Clothing,North,8,453.62,3628.96,505.0
ORD00135,2024-04-22,CUST0233,Customer 233,Product 17,Clothing,Central,2,29.09,58.18,13.01
ORD00136,2024-06-05,CUST0099,Customer 99,Product 4,Electronics,North,7,44.88,314.16,51.46
ORD00137,2025-10-04,CUST0305,Customer 305,Product 3,Home & Kitchen,Central,10,343.99,3439.9,578.33
ORD00138,2024-06-12,CUST0065,Customer 65,Product 17,Clothing,East,3,148.11,444.33,54.93
ORD00139,2025-11-27,CUST0216,Customer 216,Product 16,Sports,South,5,180.68,903.4,259.57
ORD00140,2025-03-08,CUST0125,Customer 125,Product 5,Electronics,North,8,370.18,2961.44,772.04
ORD00141,2025-09-02,CUST0066,Customer 66,Product 10,Sports,Central,9,278.51,2506.59,462.95
ORD00142,2024-03-06,CUST0492,Customer 492,Product 12,Clothing,Central,8,405.35,3242.8,966.68
ORD00143,2025-01-29,CUST0454,Customer 454,Product 18,Home & Kitchen,South,4,192.29,769.16,196.35
ORD00144,2025-01-25,CUST0241,Customer 241,Product 10,Clothing,East,8,434.89,3479.12,738.87
ORD00145,2025-09-02,CUST0189,Customer 189,Product 1,Home & Kitchen,North,1,343.12,343.12,85.09
ORD00146,2025-04-24,CUST0122,Customer 122,Product 17,Electronics,West,3,60.53,181.59,50.94
ORD00147,2025-06-25,CUST0177,Customer 177,Product 7,Home & Kitchen,South,4,414.96,1659.84,272.23
ORD00148,2024-09-14,CUST0403,Customer 403,Product 3,Clothing,South,3,200.71,602.13,61.52
ORD00149,2025-07-20,CUST0342,Customer 342,Product 16,Sports,Central,9,425.1,3825.9,654.16
ORD00150,2024-01-12,CUST0355,Customer 355,Product 11,Clothing,Central,4,290.98,1163.92,263.47
ORD00151,2025-11-27,CUST0154,Customer 154,Product 14,Clothing,South,5,54.94,274.7,60.57
ORD00152,2024-04-27,CUST0054,Customer 54,Product 15,Electronics,West,4,339.53,1358.12,340.17
ORD00153,2025-11-29,CUST0113,Customer 113,Product 1,Home & Kitchen,South,7,392.84,2749.88,337.39
ORD00154,2025-07-03,CUST0239,Customer 239,Product 20,Home & Kitchen,South,5,252.27,1261.35,140.66
ORD00155,2024-09-30,CUST0247,Customer 247,Product 11,Sports,South,10,226.35,2263.5,628.21
ORD00156,2025-10-18,CUST0205,Customer 205,Product 6,Electronics,East,2,484.64,969.28,230.31
ORD00157,2024-12-14,CUST0006,Customer 6,Product 3,Clothing,North,10,312.93,3129.3,376.22
ORD00158,2024-04-24,CUST0285,Customer 285,Product 4,Home & Kitchen,East,7,218.78,1531.46,221.32
ORD00159,2024-10-27,CUST0226,Customer 226,Product 7,Clothing,North,9,412.71,3714.39,896.09
ORD00160,2025-03-21,CUST0500,Customer 500,Product 1,Home & Kitchen,South,5,261.53,1307.65,191.76
ORD00161,2024-06-10,CUST0146,Customer 146,Product 6,Home & Kitchen,East,8,193.39,1547.12,269.4
ORD00162,2025-04-09,CUST0369,Customer 369,Product 6,Clothing,Central,4,125.98,503.92,141.87
ORD00163,2024-01-04,CUST0126,Customer 126,Product 6,Home & Kitchen,North,4,181.61,726.44,175.53
ORD00164,2024-09-26,CUST0091,Customer 91,Product 9,Electronics,North,3,390.8,1172.4,248.17
ORD00165,2025-05-27,CUST0426,Customer 426,Product 5,Sports,North,10,454.11,4541.1,555.1
ORD00166,2024-07-01,CUST0174,Customer 174,Product 7,Clothing,West,3,134.3,402.9,72.94
ORD00167,2025-06-03,CUST0123,Customer 123,Product 12,Clothing,South,10,373.08,3730.8,945.53
ORD00168,2024-04-18,CUST0482,Customer 482,Product 17,Sports,North,9,374.66,3371.94,796.48
ORD00169,2025-10-02,CUST0061,Customer 61,Product 5,Home & Kitchen,South,9,193.69,1743.21,273.93
ORD00170,2024-11-01,CUST0099,Customer 99,Product 18,Sports,East,8,268.9,2151.2,402.85
ORD00171,2025-10-16,CUST0163,Customer 163,Product 20,Sports,South,10,15.96,159.6,46.92
ORD00172,2025-06-03,CUST0472,Customer 472,Product 2,Home & Kitchen,Central,5,31.27,156.35,44.55
ORD00173,2025-09-15,CUST0151,Customer 151,Product 5,Clothing,South,5,133.97,669.85,160.15
ORD00174,2024-07-22,CUST0028,Customer 28,Product 9,Home & Kitchen,Central,9,266.32,2396.88,541.41
ORD00175,2024-06-05,CUST0496,Customer 496,Product 19,Sports,South,1,317.5,317.5,68.85
ORD00176,2025-01-17,CUST0373,Customer 373,Product 3,Sports,Central,7,32.27,225.89,35.28
ORD00177,2024-06-14,CUST0034,Customer 34,Product 6,Sports,Central,8,203.32,1626.56,197.39
ORD00178,2025-07-06,CUST0192,Customer 192,Product 16,Sports,South,5,145.92,729.6,100.41
ORD00179,2025-06-27,CUST0165,Customer 165,Product 12,Sports,West,10,200.25,2002.5,292.12
ORD00180,2024-01-01,CUST0243,Customer 243,Product 9,Sports,Central,5,487.45,2437.25,724.45
ORD00181,2025-09-05,CUST0333,Customer 333,Product 2,Home & Kitchen,South,6,25.83,154.98,24.17
ORD00182,2024-11-27,CUST0459,Customer 459,Product 7,Sports,South,5,408.76,2043.8,484.27
ORD00183,2025-05-15,CUST0203,Customer 203,Product 7,Clothing,West,3,413.04,1239.12,359.3
ORD00184,2024-01-20,CUST0456,Customer 456,Product 13,Home & Kitchen,East,5,310.57,1552.85,285.18
ORD00185,2024-04-24,CUST0131,Customer 131,Product 18,Electronics,South,8,439.56,3516.48,739.58
ORD00186,2025-01-06,CUST0385,Customer 385,Product 3,Clothing,West,5,22.92,114.6,20.09
ORD00187,2024-11-10,CUST0266,Customer 266,Product 12,Home & Kitchen,Central,1,245.38,245.38,72.89
ORD00188,2024-09-02,CUST0022,Customer 22,Product 15,Clothing,West,5,377.29,1886.45,336.92
ORD00189,2024-02-29,CUST0231,Customer 231,Product 15,Sports,West,1,420.78,420.78,81.52
ORD00190,2024-09-03,CUST0189,Customer 189,Product 16,Clothing,East,3,75.59,226.77,23.3
ORD00191,2025-08-03,CUST0196,Customer 196,Product 1,Home & Kitchen,West,7,433.71,3035.97,797.19
ORD00192,2024-03-21,CUST0120,Customer 120,Product 9,Electronics,East,5,498.35,2491.75,525.97
